Strike ID,Date,Location,Area,Minimum total people killed,Maximum total people killed,Minimum civilians reported killed,Maximum civilians reported killed,Minimum children reported killed,Maximum children reported killed,Minimum reported injured,Maximum reported injured,Strike link,,Index,Strike Effectiveness
Ob173,17/12/2010,Nakai,Khyber Agency,11,15,0,0,0,0,2,2,http://www.thebureauinvestigates.com/2011/08/10/obama-2010-strikes/#Ob173,,224,1
Ob174,17/12/2010,Speen Drang,Khyber Agency,32,32,2,2,0,0,0,0,http://www.thebureauinvestigates.com/2011/08/10/obama-2010-strikes/#Ob174,,225,0.9375
Ob175,27/12/2010,Shera Tala,North Waziristan,18,22,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2011/08/10/obama-2010-strikes/#Ob175,,226,1
Ob176,27/12/2010,Machi Khel,North Waziristan,4,4,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2011/08/10/obama-2010-strikes/#Ob176,,227,1
Ob177,28/12/2010,Ghulam Khan,North Waziristan,5,7,0,0,0,0,2,2,http://www.thebureauinvestigates.com/2011/08/10/obama-2010-strikes/#Ob177,,228,1
Ob178,28/12/2010,Ghulam Khan,North Waziristan,5,12,2,4,0,0,3,3,http://www.thebureauinvestigates.com/2011/08/10/obama-2010-strikes/#Ob178,,229,0.6666666667
Ob179,28/12/2010,Ghulam Khan,North Waziristan,9,10,0,0,0,0,6,6,http://www.thebureauinvestigates.com/2011/08/10/obama-2010-strikes/#Ob179,,230,1
Ob180,31/12/2010,Ghulam Khan,North Waziristan,4,8,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2011/08/10/obama-2010-strikes/#Ob180,,231,1
Ob181,01/01/2011,Mandi Khel,North Waziristan,8,10,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2011/08/10/obama-2011-strikes/#Ob181,http://www.thebureauinvestigates.com/2011/08/10/obama-2011-strikes/#,232,1
Ob182,01/01/2011,Mandi Khel,North Waziristan,4,6,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2011/08/10/obama-2011-strikes/#Ob182,,233,1
Ob183,01/01/2011,Datta Khel,North Waziristan,4,5,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2011/08/10/obama-2011-strikes/#Ob183,,234,1
Ob184,01/01/2011,Boya,North Waziristan,4,4,0,0,0,0,4,4,http://www.thebureauinvestigates.com/2011/08/10/obama-2011-strikes/#Ob184,,235,1
Ob185,07/01/2011,Ghar Laley,North Waziristan,1,6,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2011/08/10/obama-2011-strikes/#Ob185,,236,1
Ob186,12/01/2011,Haider Khel,North Waziristan,3,6,0,0,0,0,2,15,http://www.thebureauinvestigates.com/2011/08/10/obama-2011-strikes/#Ob186,,237,1
Ob187,18/01/2011,"Assar Madd Khel, Datta Khel",North Waziristan,3,7,0,0,0,0,3,3,http://www.thebureauinvestigates.com/2011/08/10/obama-2011-strikes/#Ob187,,238,1
Ob188,23/01/2011,Doga Mada Khel,North Waziristan,2,5,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2011/08/10/obama-2011-strikes/#Ob188,,239,1
Ob189,23/01/2011,Doga Mada Khel,North Waziristan,2,3,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2011/08/10/obama-2011-strikes/#Ob189,,240,1
Ob190,23/01/2011,Razmak,North Waziristan,4,6,0,0,0,0,3,3,http://www.thebureauinvestigates.com/2011/08/10/obama-2011-strikes/#Ob190,,241,1
Ob191,20/02/2011,"Kazha Punga area, Tehsil Birmal",South Waziristan,6,8,0,0,0,0,2,2,http://www.thebureauinvestigates.com/2011/08/10/obama-2011-strikes/#Ob191,,242,1
Ob192,21/02/2011,Malik Jashdar,North Waziristan,7,14,0,11,0,0,10,10,http://www.thebureauinvestigates.com/2011/08/10/obama-2011-strikes/#Ob192,,243,0.2142857143
Ob193,24/02/2011,Mohammad Khel,North Waziristan,4,7,0,0,0,0,3,2,http://www.thebureauinvestigates.com/2011/08/10/obama-2011-strikes/#Ob193,,244,1
Ob194,08/03/2011,Landidog,South Waziristan,2,5,0,5,0,0,2,2,http://www.thebureauinvestigates.com/2011/08/10/obama-2011-strikes/#Ob194,,245,0
Ob195,09/03/2011,Datta Khel,North Waziristan,5,5,0,0,0,0,2,3,http://www.thebureauinvestigates.com/2011/08/10/obama-2011-strikes/#Ob195,,246,1
Ob196,11/03/2011,Khesoor,North Waziristan,4,12,5,5,0,0,0,0,http://www.thebureauinvestigates.com/2011/08/10/obama-2011-strikes/#Ob196,,247,0.5833333333
Ob197,11/03/2011,Ghoroski,North Waziristan,4,4,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2011/08/10/obama-2011-strikes/#Ob197,,248,1
Ob198,13/03/2011,Azam Warsak,South Waziristan,0,4,0,0,0,0,0,5,http://www.thebureauinvestigates.com/2011/08/10/obama-2011-strikes/#Ob198,,249,1
Ob199,13/03/2011,"Ishar Morr area, Qutab Khel, Miranshah",North Waziristan,4,7,0,0,0,0,5,5,http://www.thebureauinvestigates.com/2011/08/10/obama-2011-strikes/#Ob199,,250,1
Ob200,14/03/2011,Malik Jashdar,North Waziristan,3,6,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2011/08/10/obama-2011-strikes/#Ob200,,251,1
Ob201,16/03/2011,Datta Khel,North Waziristan,3,5,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2011/08/10/obama-2011-strikes/#Ob201,,252,1
Ob202,17/03/2011,Datta Khel,North Waziristan,26,42,19,41,0,1,9,14,http://www.thebureauinvestigates.com/2011/08/10/obama-2011-strikes/#Ob202,,253,0.02380952381
Ob203,13/04/2011,Angor Adda,South Waziristan,4,7,0,7,0,0,6,10,http://www.thebureauinvestigates.com/2011/08/10/obama-2011-strikes/#Ob203,,254,0
Ob204,22/04/2011,Spinwan,North Waziristan,20,26,5,9,3,5,5,10,http://www.thebureauinvestigates.com/2011/08/10/obama-2011-strikes/#Ob204,,255,0.6538461538
Ob205,06/05/2011,Dwa Tooe,North Waziristan,7,18,6,6,0,0,4,4,http://www.thebureauinvestigates.com/2011/08/10/obama-2011-strikes/#Ob205,,256,0.6666666667
Ob206,10/05/2011,Angor Adda,South Waziristan,3,5,0,0,0,0,4,4,http://www.thebureauinvestigates.com/2011/08/10/obama-2011-strikes/#Ob206,,257,1
Ob207,12/05/2011,Datta Khel,North Waziristan,5,8,0,0,0,0,1,1,http://www.thebureauinvestigates.com/2011/08/10/obama-2011-strikes/#Ob207,,258,1
Ob208,13/05/2011,Doga Mada Khel,North Waziristan,3,5,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2011/08/10/obama-2011-strikes/#Ob208,,259,1
Ob209,16/05/2011,"Khushali Village, Mir Ail",North Waziristan,4,10,0,0,0,0,2,4,http://www.thebureauinvestigates.com/2011/08/10/obama-2011-strikes/#Ob209,,260,1
Ob210,16/05/2011,"Khisoor Village, Mir Ali",North Waziristan,3,6,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2011/08/10/obama-2011-strikes/#Ob210,,261,1
Ob211,20/05/2011,Tappi,North Waziristan,4,6,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2011/08/10/obama-2011-strikes/#Ob211,,262,1
Ob212,23/05/2011,Mir Ali,North Waziristan,4,7,0,0,0,0,2,2,http://www.thebureauinvestigates.com/2011/08/10/obama-2011-strikes/#Ob212,,263,1
Ob213,03/06/2011,Ghwa Khwa,South Waziristan,5,12,0,0,0,0,1,3,http://www.thebureauinvestigates.com/2011/08/10/obama-2011-strikes/#Ob213,,264,1
Ob214,06/06/2011,"Tigger, Toji Khel Wazir",South Waziristan,7,9,0,0,0,0,2,2,http://www.thebureauinvestigates.com/2011/08/10/obama-2011-strikes/#Ob214,,265,1
Ob215,06/06/2011,Wacha Dana,South Waziristan,8,10,0,7,0,0,3,3,http://www.thebureauinvestigates.com/2011/08/10/obama-2011-strikes/#Ob215,,266,0.3
Ob216,06/06/2011,Darnashtra,South Waziristan,3,5,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2011/08/10/obama-2011-strikes/#Ob216,,267,1
Ob217,08/06/2011,Zoynari,South Waziristan,18,23,0,0,0,0,6,6,http://www.thebureauinvestigates.com/2011/08/10/obama-2011-strikes/#Ob217,,268,1
Ob218,08/06/2011,Shawal,South Waziristan,4,4,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2011/08/10/obama-2011-strikes/#Ob218,,269,1
Ob219,15/06/2011,Wana,South Waziristan,2,10,0,0,0,0,2,2,http://www.thebureauinvestigates.com/2011/08/10/obama-2011-strikes/#Ob219,,270,1
Ob220,15/06/2011,Karez,South Waziristan,0,0,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2011/08/10/obama-2011-strikes/#Ob220,,271,#DIV/0!
Ob221,15/06/2011,Mir Ali,North Waziristan,5,6,5,6,0,0,0,0,http://www.thebureauinvestigates.com/2011/08/10/obama-2011-strikes/#Ob221,,272,0
Ob222,20/06/2011,Khardand,Kurram Agency,5,7,2,7,0,0,0,3,http://www.thebureauinvestigates.com/2011/08/10/obama-2011-strikes/#Ob222,,273,0
Ob223,20/06/2011,Zarakai,Kurram Agency,2,5,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2011/08/10/obama-2011-strikes/#Ob223,,274,1
Ob224,27/06/2011,Shawal,South Waziristan,6,12,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2011/08/10/obama-2011-strikes/#Ob224,,275,1
Ob225,27/06/2011,Shakai,South Waziristan,12,21,0,20,0,0,2,2,http://www.thebureauinvestigates.com/2011/08/10/obama-2011-strikes/#Ob225,,276,0.04761904762
Ob226,05/07/2011,Mir Ali,North Waziristan,4,6,0,3,0,2,5,5,http://www.thebureauinvestigates.com/2011/08/10/obama-2011-strikes/#Ob226,,277,0.5
Ob227,11/07/2011,Gurwak,North Waziristan,4,12,0,0,0,0,2,2,http://www.thebureauinvestigates.com/2011/08/10/obama-2011-strikes/#Ob227,,278,1
Ob228,12/07/2011,Gurwak,North Waziristan,12,25,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2011/08/10/obama-2011-strikes/#Ob228,,279,1
Ob229,12/07/2011,Barmal,South Waziristan,5,13,0,0,0,0,3,5,http://www.thebureauinvestigates.com/2011/08/10/obama-2011-strikes/#Ob229,,280,1
Ob230,12/07/2011,Datta Khel,North Waziristan,13,15,0,4,0,0,0,0,http://www.thebureauinvestigates.com/2011/08/10/obama-2011-strikes/#Ob230,,281,0.7333333333
Ob231,12/07/2011,Datta Khel,North Waziristan,1,9,1,1,0,0,3,5,http://www.thebureauinvestigates.com/2011/08/10/obama-2011-strikes/#Ob231,,282,0.8888888889
Ob232,20/07/2011,Mir Ali,North Waziristan,4,4,0,0,0,0,2,2,http://www.thebureauinvestigates.com/2011/08/10/obama-2011-strikes/#Ob232,,283,1
Ob233,01/08/2011,Azam Warsak,South Waziristan,3,6,0,6,0,0,2,7,http://www.thebureauinvestigates.com/2011/08/10/obama-2011-strikes/#Ob233,,284,0
Ob234,02/08/2011,Qutab Khel,North Waziristan,3,4,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2011/08/10/obama-2011-strikes/#Ob234,,285,1
Ob235,10/08/2011,Miram Shah,North Waziristan,8,25,0,0,0,0,3,8,http://www.thebureauinvestigates.com/2011/08/10/obama-2011-strikes/#Ob235,,286,1
Ob236,16/08/2011,Miram Shah,North Waziristan,2,7,3,4,1,1,2,2,http://www.thebureauinvestigates.com/2011/08/10/obama-2011-strikes/#Ob236,,287,0.4285714286
Ob237,19/08/2011,Shin Warsak,South Waziristan,3,4,0,0,0,0,2,2,http://www.thebureauinvestigates.com/2011/08/10/obama-2011-strikes/#Ob237,,288,1
Ob238,22/08/2011,"Mir Koon Khel, Mir Ali",North Waziristan,3,7,0,4,0,0,3,3,http://www.thebureauinvestigates.com/2011/08/10/obama-2011-strikes/#Ob238,,289,0.4285714286
Ob239,11/09/2011,Hisokhel,North Waziristan,1,5,0,0,0,0,1,3,http://www.thebureauinvestigates.com/2011/08/10/obama-2011-strikes/#Ob239,,290,1
Ob240,23/09/2011,Khushali,North Waziristan,3,8,0,0,0,0,3,4,http://www.thebureauinvestigates.com/2011/08/10/obama-2011-strikes/#Ob240,,291,1
Ob241,27/09/2011,Azam Warsak,South Waziristan,0,4,0,0,0,0,0,2,http://www.thebureauinvestigates.com/2011/08/10/obama-2011-strikes/#Ob241,,292,1
Ob242,30/09/2011,Baghar,South Waziristan,3,4,0,0,0,0,1,5,http://www.thebureauinvestigates.com/2011/08/10/obama-2011-strikes/#Ob242,,293,1
Ob243,13/10/2011,Danda Darpakhel,North Waziristan,1,6,0,0,0,0,4,4,http://www.thebureauinvestigates.com/2011/08/10/obama-2011-strikes/#Ob243,,294,1
Ob244,13/10/2011,"Chashma Nala, Birmal",South Waziristan,3,6,0,0,0,0,3,3,http://www.thebureauinvestigates.com/2011/08/10/obama-2011-strikes/#Ob244,,295,1
Ob245,14/10/2011,Danda Darpakhel,North Waziristan,3,6,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2011/08/10/obama-2011-strikes/#Ob245,,296,1
Ob246,15/10/2011,Angor Adda,South Waziristan,3,6,0,0,0,0,3,7,http://www.thebureauinvestigates.com/2011/08/10/obama-2011-strikes/#Ob246,,297,1
Ob247,26/10/2011,"Shana Wana, Birmal",South Waziristan,13,22,0,0,0,0,6,6,http://www.thebureauinvestigates.com/2011/08/10/obama-2011-strikes/#Ob247,,298,1
Ob248,27/10/2011,Azam Warsak,South Waziristan,4,6,0,0,0,0,3,4,http://www.thebureauinvestigates.com/2011/08/10/obama-2011-strikes/#Ob248,,299,1
Ob249,27/10/2011,Hisokhel,North Waziristan,4,6,0,0,0,0,3,3,http://www.thebureauinvestigates.com/2011/08/10/obama-2011-strikes/#Ob249,,300,1
Ob250,30/10/2011,"Khar Khama, Datta Khel",North Waziristan,4,6,4,4,0,0,2,3,http://www.thebureauinvestigates.com/2011/08/10/obama-2011-strikes/#Ob250,,301,0.3333333333
Ob251,31/10/2011,Norak,North Waziristan,2,4,2,2,2,2,3,3,http://www.thebureauinvestigates.com/2011/08/10/obama-2011-strikes/#Ob251,,302,0.5
Ob252,03/11/2011,"Sarai Darpa Khel, Miranshah",North Waziristan,2,3,0,0,0,0,3,3,http://www.thebureauinvestigates.com/2011/08/10/obama-2011-strikes/#Ob252,,303,1
Ob253,15/11/2011,Miram Shah,North Waziristan,3,7,0,0,0,0,2,4,http://www.thebureauinvestigates.com/2011/08/10/obama-2011-strikes/#Ob253,,304,1
Ob254,16/11/2011,Babar Ghar,South Waziristan,4,22,0,0,0,0,6,12,http://www.thebureauinvestigates.com/2011/08/10/obama-2011-strikes/#Ob254,,305,1
Ob255,17/11/2011,Shawal,North Waziristan,7,9,0,0,0,0,3,5,http://www.thebureauinvestigates.com/2011/08/10/obama-2011-strikes/#Ob255,,306,1
Ob256,10/01/2012,Miram Shah,North Waziristan,1,4,0,0,0,0,2,2,http://www.thebureauinvestigates.com/2012/01/11/obama-2012-strikes/#Ob256,http://www.thebureauinvestigates.com/2012/01/11/obama-2012-strikes/#,307,1
Ob257,12/01/2012,Datta Khel,North Waziristan,5,9,0,0,0,0,2,3,http://www.thebureauinvestigates.com/2012/01/11/obama-2012-strikes/#Ob257,,308,1
Ob258,23/01/2012,Deegan,North Waziristan,2,5,0,0,0,0,1,3,http://www.thebureauinvestigates.com/2012/01/11/obama-2012-strikes/#Ob258,,309,1
Ob259,23/01/2012,"Char Khel, Datta Khel",North Waziristan,0,2,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2012/01/11/obama-2012-strikes/#Ob259,,310,1
Ob260,08/02/2012,Miranshah,North Waziristan,9,10,0,0,0,0,2,12,http://www.thebureauinvestigates.com/2012/01/11/obama-2012-strikes/#Ob260,,311,1
Ob261,09/02/2012,Miranshah,North Waziristan,3,8,0,3,0,1,3,3,http://www.thebureauinvestigates.com/2012/01/11/obama-2012-strikes/#Ob261,,312,0.625
Ob262,16/02/2012,Miranshah,North Waziristan,5,6,0,0,0,0,4,7,http://www.thebureauinvestigates.com/2012/01/11/obama-2012-strikes/#Ob262,,313,1
Ob263,16/02/2012,"Jalar Zakar Khel, Mir Ali",North Waziristan,8,15,0,0,0,0,3,3,http://www.thebureauinvestigates.com/2012/01/11/obama-2012-strikes/#Ob263,,314,1
Ob264,09/03/2012,Shaktoi Mandao,South Waziristan,4,15,0,0,0,0,0,3,http://www.thebureauinvestigates.com/2012/01/11/obama-2012-strikes/#Ob264,,315,1
Ob265,09/03/2012,Nishpa,South Waziristan,6,6,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2012/01/11/obama-2012-strikes/#Ob265,,316,1
Ob266,13/03/2012,"Wagdalai, Tehsil Birmal",South Waziristan,6,8,0,0,0,0,2,4,http://www.thebureauinvestigates.com/2012/01/11/obama-2012-strikes/#Ob266,,317,1
Ob267,13/03/2012,Shawa,North/South Waziristan,6,7,0,0,0,0,3,3,http://www.thebureauinvestigates.com/2012/01/11/obama-2012-strikes/#Ob267,,318,1
Ob268,30/03/2012,"Sarai Bazaar, Miranshah",North Waziristan,3,4,0,0,0,0,3,3,http://www.thebureauinvestigates.com/2012/01/11/obama-2012-strikes/#Ob268,,319,1
Ob269,29/04/2012,Miranshah Bazaar,North Waziristan,3,6,0,0,0,0,1,3,http://www.thebureauinvestigates.com/2012/01/11/obama-2012-strikes/#Ob269,,320,1
Ob270,05/05/2012,"Guldar Kot, Dre Nishtar area",North Waziristan,8,10,0,0,0,0,1,3,http://www.thebureauinvestigates.com/2012/01/11/obama-2012-strikes/#Ob270,,321,1
Ob271,23/05/2012,Datta Khel Kalai,North Waziristan,1,5,0,0,0,0,1,2,http://www.thebureauinvestigates.com/2012/01/11/obama-2012-strikes/#Ob271,,322,1
Ob272,24/05/2012,Khassokhel near Mir Ali,North Waziristan,5,12,0,8,0,0,3,4,http://www.thebureauinvestigates.com/2012/01/11/obama-2012-strikes/#Ob272,,323,0.3333333333
Ob273,26/05/2012,Miranshah,North Waziristan,1,4,0,0,0,0,1,2,http://www.thebureauinvestigates.com/2012/01/11/obama-2012-strikes/#Ob273,,324,1
Ob274,28/05/2012,Khassokhel near Mir Ali,North Waziristan,4,10,0,0,0,0,4,4,http://www.thebureauinvestigates.com/2012/01/11/obama-2012-strikes/#Ob274,,325,1
Ob275,28/05/2012,"Degan, Datta Khel",North Waziristan,2,5,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2012/01/11/obama-2012-strikes/#Ob275,,326,1
Ob276,02/06/2012,"Khawashi Khel, near Wana",South Waziristan,2,4,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2012/01/11/obama-2012-strikes/#Ob276,,327,1
Ob277,03/06/2012,"Landai Warai, Tehsil Birmal",South Waziristan,0,10,0,0,0,0,4,10,http://www.thebureauinvestigates.com/2012/01/11/obama-2012-strikes/#Ob277,,328,1
Ob278,04/06/2012,"Khushali, Tehsil Mir Ali",North Waziristan,14,18,0,6,0,0,3,6,http://www.thebureauinvestigates.com/2012/01/11/obama-2012-strikes/#Ob278,,329,0.6666666667
Ob279,13/06/2012,"Isha, near Miranshah",North Waziristan,2,4,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2012/01/11/obama-2012-strikes/#Ob279,,330,1
Ob280,14/06/2012,Miranshah,North Waziristan,1,4,0,0,0,0,2,3,http://www.thebureauinvestigates.com/2012/01/11/obama-2012-strikes/#Ob280,,331,1
Ob281,26/06/2012,Shawal,North Waziristan,4,7,0,0,0,0,2,7,http://www.thebureauinvestigates.com/2012/01/11/obama-2012-strikes/#Ob281,,332,1
Ob282,01/07/2012,Dre Nishter/Shawal,North Waziristan,6,9,0,0,0,0,2,3,http://www.thebureauinvestigates.com/2012/01/11/obama-2012-strikes/#Ob282,,333,1
Ob283,06/07/2012,Maizer,North Waziristan,13,24,3,18,0,0,2,22,http://www.thebureauinvestigates.com/2012/01/11/obama-2012-strikes/#Ob283,,334,0.25
Ob284,23/07/2012,Dre Nishter/Shawal,North Waziristan,11,14,6,14,0,0,2,11,http://www.thebureauinvestigates.com/2012/01/11/obama-2012-strikes/#Ob284,,335,0
Ob285,29/07/2012,Kushhali Turkhel,North Waziristan,4,7,0,3,0,0,4,4,http://www.thebureauinvestigates.com/2012/01/11/obama-2012-strikes/#Ob285,,336,0.5714285714
Ob286,18/08/2012,"Mammon Narai, Shuweda",North Waziristan,5,12,1,1,0,0,2,9,http://www.thebureauinvestigates.com/2012/01/11/obama-2012-strikes/#Ob286,,337,0.9166666667
Ob287,19/08/2012,"Mana, Shawal",North Waziristan,4,7,0,0,0,0,2,3,http://www.thebureauinvestigates.com/2012/01/11/obama-2012-strikes/#Ob287,,338,1
Ob288,19/08/2012,"Mana, Shawal",North Waziristan,2,3,0,0,0,0,2,2,http://www.thebureauinvestigates.com/2012/01/11/obama-2012-strikes/#Ob288,,339,1
Ob289,21/08/2012,"Shnakhura, Datta Khel",North Waziristan,4,25,1,3,1,1,2,2,http://www.thebureauinvestigates.com/2012/01/11/obama-2012-strikes/#Ob289,,340,0.88
Ob290,24/08/2012,"Makai/Maki Ghar, Shawal",North Waziristan,13,22,0,0,0,0,4,14,http://www.thebureauinvestigates.com/2012/01/11/obama-2012-strikes/#Ob290,,341,1
Ob291,24/08/2012,"Dara, Shawal",North Waziristan,0,0,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2012/01/11/obama-2012-strikes/#Ob291,,342,#DIV/0!
Ob292,24/08/2012,"Dre Nishter, Shawal",North Waziristan,0,0,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2012/01/11/obama-2012-strikes/#Ob292,,343,#DIV/0!
Ob293,01/09/2012,Degan,North Waziristan,4,6,0,0,0,0,2,3,http://www.thebureauinvestigates.com/2012/01/11/obama-2012-strikes/#Ob293,,344,1
Ob294,21/09/2012,Mohammed Khel/Datta Khel,North Waziristan,3,4,0,0,0,0,2,3,http://www.thebureauinvestigates.com/2012/01/11/obama-2012-strikes/#Ob294,,345,1
Ob295,24/09/2012,"Mosaki - Inzar Abad, Tehsil Mir Ali",North Waziristan,3,8,0,0,0,0,2,2,http://www.thebureauinvestigates.com/2012/01/11/obama-2012-strikes/#Ob295,,346,1
Ob296,01/10/2012,Khadar Khel,North Waziristan,2,4,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2012/01/11/obama-2012-strikes/#Ob296,,347,1
Ob297,10/10/2012,"Hurmaz, Teshil Mir Ali",North Waziristan,3,6,0,0,0,0,3,3,http://www.thebureauinvestigates.com/2012/01/11/obama-2012-strikes/#Ob297,,348,1
Ob298,11/10/2012,Buland Khel,Orakzai Agency,16,26,0,2,0,0,5,15,http://www.thebureauinvestigates.com/2012/01/11/obama-2012-strikes/#Ob298,,349,0.9230769231
Ob299,24/10/2012,Village Ghundi Killi Daur Tappi area of Tehsil Miranshah,North Waziristan,1,1,1,1,0,0,6,9,http://www.thebureauinvestigates.com/2012/01/11/obama-2012-strikes/#Ob299,,350,0
Ob300,29/11/2012,Shin Warsak,South Waziristan,1,4,0,0,0,0,3,4,http://www.thebureauinvestigates.com/2012/01/11/obama-2012-strikes/#Ob300,,351,1
Ob301,01/12/2012,Shin Warsak,South Waziristan,1,4,0,0,0,0,3,3,http://www.thebureauinvestigates.com/2012/01/11/obama-2012-strikes/#Ob301,,352,1
Ob302,06/12/2012,"Noorak Mubarak Shahi area, Tehsil Mir Ali",North Waziristan,2,11,1,1,0,0,1,6,http://www.thebureauinvestigates.com/2012/01/11/obama-2012-strikes/#Ob302,,353,0.9090909091
Ob303,09/12/2012,"Tabbi Tor Khel, Tehisl Ghulam Khan",North Waziristan,2,4,0,3,0,0,0,0,http://www.thebureauinvestigates.com/2012/01/11/obama-2012-strikes/#Ob303,,354,0.25
Ob304,21/12/2012,"Hassokhel, near Mir Ali",North Waziristan,3,6,0,0,0,0,2,2,http://www.thebureauinvestigates.com/2012/01/11/obama-2012-strikes/#Ob304,,355,1
Ob305,29/12/2012,"Gurbaz, Shawal",North Waziristan,4,5,0,0,0,0,2,2,http://www.thebureauinvestigates.com/2012/01/11/obama-2012-strikes/#Ob305,,356,1
Ob306,02/01/2013,"Lajhmarai area, Tehsil Birmal",South Waziristan,6,11,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2013/01/03/obama-2013-pakistan-drone-strikes/#Ob306,http://www.thebureauinvestigates.com/2013/01/03/obama-2013-pakistan-drone-strikes/#,357,1
Ob307,03/01/2013,"Ghundi Killi, Tappi area, Tehsil Miranshah",North Waziristan,3,6,0,0,0,0,1,1,http://www.thebureauinvestigates.com/2013/01/03/obama-2013-pakistan-drone-strikes/#Ob307,,358,1
Ob308,06/01/2013,"Smal Narai area, Tehsil Ladha",South Waziristan,8,18,0,0,0,0,3,7,http://www.thebureauinvestigates.com/2013/01/03/obama-2013-pakistan-drone-strikes/#Ob308,,359,1
Ob309,08/01/2013,"Haiderkhel, near Mir Ali",North Waziristan,4,9,0,2,0,1,1,4,http://www.thebureauinvestigates.com/2013/01/03/obama-2013-pakistan-drone-strikes/#Ob309,,360,0.7777777778
Ob310,08/01/2013,"Malangan Hassokhel, Tehsil Mir Ali",North Waziristan,0,9,0,0,0,0,1,4,http://www.thebureauinvestigates.com/2013/01/03/obama-2013-pakistan-drone-strikes/#Ob310,,361,1
Ob311,10/01/2013,"Hassokhel, near Mir Ali",North Waziristan,3,6,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2013/01/03/obama-2013-pakistan-drone-strikes/#Ob311,,362,1
Ob312,06/02/2013,Spinwam,North Waziristan,3,5,0,2,0,0,1,1,http://www.thebureauinvestigates.com/2013/01/03/obama-2013-pakistan-drone-strikes/#Ob312,,363,0.6
Ob313,08/02/2013,Babar Ghar,South Waziristan,6,9,0,0,0,0,2,6,http://www.thebureauinvestigates.com/2013/01/03/obama-2013-pakistan-drone-strikes/#Ob313,,364,1
Ob314,10/03/2013,Datta Khel,North Waziristan,1,3,0,0,0,0,1,1,http://www.thebureauinvestigates.com/2013/01/03/obama-2013-pakistan-drone-strikes/#Ob314,,365,1
Ob315,22/03/2013,"New Adda, Tehsil Datta Khel",North Waziristan,1,4,0,0,0,0,1,1,http://www.thebureauinvestigates.com/2013/01/03/obama-2013-pakistan-drone-strikes/#Ob315,,366,1
Ob316,14/04/2013,Datta Khel,North Waziristan,4,6,0,0,0,0,2,2,http://www.thebureauinvestigates.com/2013/01/03/obama-2013-pakistan-drone-strikes/#Ob316,,367,1
Ob317,17/04/2013,"Pobar, Tehsil Ladha",South Waziristan,4,6,0,0,0,0,2,7,http://www.thebureauinvestigates.com/2013/01/03/obama-2013-pakistan-drone-strikes/#Ob317,,368,1
Ob318,29/05/2013,"Qazi Kot, Tehsil Miranshah",North Waziristan,3,7,0,0,0,0,1,4,http://www.thebureauinvestigates.com/2013/01/03/obama-2013-pakistan-drone-strikes/#Ob318,,369,1
Ob319,07/06/2013,"Shui Khel Mandi, Tehsil Shawal",North Waziristan,7,11,0,0,0,0,3,4,http://www.thebureauinvestigates.com/2013/01/03/obama-2013-pakistan-drone-strikes/#Ob319,,370,1
Ob320,03/07/2013,"Shui Khel Mandi, Tehsil Shawal",North Waziristan,16,18,0,0,0,0,5,5,http://www.thebureauinvestigates.com/2013/01/03/obama-2013-pakistan-drone-strikes/#Ob320,,371,1
Ob321,13/07/2013,Khray Chila Mossaki area of Mir Ali,North Waziristan,2,3,0,0,0,0,0,0,http://www.thebureauinvestigates.com/2013/01/03/obama-2013-pakistan-drone-strikes/#Ob321,,372,1
Ob322,28/07/2013,"Zoi Nair, Tehsil Shawal",North Waziristan,5,8,0,0,0,0,2,4,http://www.thebureauinvestigates.com/2013/01/03/obama-2013-pakistan-drone-strikes/#Ob322,,373,1
